"","D1n1","D1n2","D3n1","D3n2","D7n1","D7n2","LZn1","LZn2","Pachn1","Pachn2"
"NM_001034876",2.65312,1.489363,2.562508,1.76753,1.473052,1.431352,50.28583,91.82062,52.67666,65.68132
"NR_035408_3",0,0,0,0,0,0,0,0,0,0
"NM_172015",34.79205,40.46811,32.82047,34.54717,46.10107,50.49321,19.7705,29.01277,29.18059,28.09562
"NM_172528",0,0,0,0,0,0,0,0,0,0
"NM_181595",115.7122,97.57453,55.08545,118.0228,130.556,134.3948,10.10014,2.91494,21.41173,10.98851
"NM_181594",42.75141,43.57449,40.35526,42.82242,49.0199,48.11778,34.81327,42.72209,89.05766,157.3979
"NM_172529",4.763556,4.723407,7.144477,4.659851,4.364598,4.598598,1.074484,3.324854,2.842266,3.995822
"NM_181591",0.1205964,0.2127661,0.01697025,0,0.02727874,0.03045429,36.31754,50.69263,15.82195,20.54102
"NM_181590",2.954611,4.595748,5.379571,5.021391,11.56619,11.26809,6.446901,6.330886,2.652781,2.809562
"NM_181593",10.13009,12.12767,12.38829,8.958162,12.52094,10.75036,13.96829,10.65775,15.7272,12.48694
"NM_001205009",0,0,0,0,0,0,0,0,0,0
"NR_035408_9",0,0,0,0,0,0,0,0,0,0
"NR_035408_8",0,0,0,0,0,0,0,0,0,0
"NR_046178",0.1808946,0.08510644,0.01697025,0.08034226,0,0,0.4297934,0,0.1894844,0.1248694
"NR_046179",0.7838764,1.31915,0.9842747,0.8837648,0.9001984,0.7918116,0,0,0,0
"NR_046170",0,0,0,0,0,0,0,0,0,0
"NR_046171",0.3014909,0.3404257,0.1187918,0.08034226,0.1636724,0.1827257,2.148967,1.503016,0.5684531,0.5619124
"NM_198599",2.472226,2.042554,1.137007,1.847872,2.100463,2.101346,0.6446901,0.5920973,1.421133,0.3746083
"NM_198598",0,0.04255322,0,0,0,0,1.504277,2.049567,0.9474219,0.6243472
"NM_001135112",0,0,0,0,0,0,0,0,0,0
"NM_001135115",0.4823855,0.2127661,0.2884943,0.4820535,0.1363937,0.2740886,0.2148967,0,0,0.06243472
"NM_030178",31.71684,32.29789,25.77782,32.33776,40.72716,35.63152,42.33465,51.69465,31.64389,30.84275
"NM_030179",9.888902,8.042558,12.42223,8.676964,10.7751,10.75036,6.446901,5.602151,3.979172,1.997911
"NM_030174",0.4220873,0.4680854,0.3054646,0.4017113,0.4364598,0.4872687,0.2148967,0.8653729,0.3789688,0.1248694
"NM_030175",0,0,0,0,0,0,0,0,0,0
"NM_030176",2.231033,1.617022,2.749181,1.968385,2.37325,1.91862,28.58126,41.35572,11.74803,15.35894
"NR_015546",0.6029818,0.3404257,0.4581969,0.4017113,0.1636724,0.09136287,0,0,0,0.06243472
"NR_015541",0,0,0,0,0.02727874,0,1.93407,2.778303,1.042164,1.685737
"NR_015540",0,0.08510644,0,0.2811979,0,0,80.80116,105.0289,23.96977,34.46396
"NM_030172",3.075207,2.38298,4.208623,4.579509,3.24617,3.228155,4.512831,7.105167,5.874016,6.61808
